pid,title,catalog_course_id,description,academic_level,credits,date_start,online_offering,campus_offering,subject_code
4y9VTe9Fe,Controllership,ACC660X,"This comprehensive course is designed to help financial managers master the technical, financial, accounting and people management skills necessary for the job of a corporate controller.",Graduate,2,2016-05-01,0,1,ACC
41GttMEKZ,Governmental and Non-Profit Accounting,ACC665,"Learn to apply procedures in accounting, financial reporting and budgeting for governmental and non-profit organizations. Prepare, analyze, and interpret these entities' financial statements. Gain experience in how to record assets, liabilities, equity, revenue, and expenditures based on standards set by the Governmental Accounting Standards Board.",Graduate,3,2016-10-30,1,0,ACC
EyZkv3HYx,Control/Audit of Accounting Info System,ACC675,"New auditing and quality control standards adopted by the PCAOB and the AICPA require auditors to have adequate technical training and must understand the role information technologies play in the maintenance and effective internal control of financial information. Knowledge of EDP auditing and control is particularly important in complying with Section 404 of Sarbanes-Oxley (SOX), which requires auditors to attest to the standards of internal control and any material weaknesses disclosed by senior management.  This course will give auditors the knowledge they need to comply with SOX Section 404 by allowing them to test the process rather than just the product of the financial information system. Select curricular standards set by ISACA will be addressed to assess and to improve auditing and internal control practices.",Graduate,3,2010-01-01,1,0,ACC
NkfKP3BFe,International Accounting,ACC680,This course focuses on accounting in the global marketplace and reviews international accounting standards for financial reporting and introduces and compares taxation and financial and managerial accounting issues in the international environment. NOTE: ACC 680 can be used as an international business elective.,Graduate,3,2016-03-14,1,0,ACC
4yqVpecKg,International Accounting,ACC680X,This course focuses on accounting in the global marketplace and reviews international accounting standards for financial reporting and introduces and compares taxation and financial and managerial accounting issues in the international environment.,Graduate,2,2022-01-03,0,1,ACC
EyFETeqYx,Governmental and Nonprofit Accounting,ACC685,This course examines the core principles and practices of nonprofit accounting.,Graduate,3,2022-01-03,0,1,ACC
VJLO82HKx,Advanced Topics in Financial Reporting,ACC690,"Students will utilize acquired accounting skills through statement preparation and analysis of business planning for advanced topics. Relevant themes prepare students for roles that manage U.S. Securities and Exchange Commission reporting, corporations in financial difficulty, foreign currency transactions, and government and nonprofit accounting. Emphasis will be placed on reporting standards and requirements outlined by governing bodies.  ",Graduate,3,2021-07-01,1,0,ACC
NyoR82rtl,Detection and Prevention of Fraudulent Financial Statements,ACC691,"This second course in forensic accounting and fraud examination examines the various types of fraud and its impact on the financial information presented. The objective of this course is to identify common fraud schemes and scams. Participants in this course will learn how to review, detect, and investigate possible financial statement fraud by addressing such topics as income smoothing, off balance sheet financing, fictitious sales/revenue, and understatement of liabilities, just to name a few. Various techniques will be used to explore substantive analytical procedures to assess the risks of financial statement fraud.",Graduate,3,2005-07-01,1,0,ACC
N1hA83Stx,Interview Techniques/Legal Aspects of Fraud,ACC692,"This third course in forensic accounting and fraud examination will acquaint the participant with interview principles and techniques. Additionally, the participant will be exposed to some of the legal aspects pertaining to the identification and prosecution of fraud.",Graduate,3,2005-07-01,1,0,ACC
E12C82rtg,Investigating with Computers,ACC693,This fourth course in the Graduate Certificate will provide guidance and knowledge for conducting investigations via machine.  The skills of the participant in this course will be strengthened in such areas as identification of the types of public records available to investigate; how to access the public records through databases; navigation of the Internet to find useful material; the use of fraud-related software packages to detect and investigate possible fraudulent activities; and the use of data analysis programs and spreadsheets to detect fraud.,Graduate,3,2019-12-02,1,0,ACC
4JlQPnrKl,Seminar in Audit and Information Assurance,ACC695,This course is designed to deepen your conceptual understanding of the function of auditing and information assurance and provide you with a framework for analyzing contemporary accounting issues.,Graduate,3,2011-07-01,1,0,ACC
41emDnBKg,Situational Ethics in Accounting,ACC696,"This course deals with the application of academic research related to ethical decision making, identifying evolving ethical issues in the accounting and business environment, and evaluating and applying theories of ethics and justice. Students will be exposed to ethical situations affecting the accounting and business environments to gain a solid foundation on which to address possible circumstances they may face as accounting professionals.",Graduate,3,2022-07-01,1,1,ACC
41XKwnSFl,Accounting Capstone,ACC700,"This capstone course is the culminating experience for the M.S. in Accounting program. The aim of the capstone is to assess students’ ability to synthesize and integrate the knowledge and skills they have developed throughout their coursework, rather than introducing new concepts. This course is structured to support student success in fulfilling program requirements.",Graduate,3,2017-02-06,1,0,ACC
EJfhfCd8Z,Seminar in Accounting Topics,ACC700X,"As the final step in students' journeys toward their Master of Science degrees in Accounting, this capstone course will integrate previous coursework and practical experience with a focus on authentic demonstration of competencies outlined by the program. Rather than introducing new concepts, students will synthesize and integrate prior learning to design or develop a capstone as a culmination of their studies. The course will be structured to support student success in fulfilling program requirements and developing a well-thought-out, comprehensive capstone project.",Graduate,2,2022-01-03,0,1,ACC
SJZFb5rJl,Advanced Topics in Financial Reporting I,ACC701,"Course includes in-depth coverage of several important advanced accounting topics: Going Concerns assumptions, Fair Value Measurements",Graduate,2,2022-01-03,0,1,ACC
Bk3bxiHke,Advanced Topics in Financial Reporting II,ACC702,"Course includes in-depth coverage of several important advanced accounting topics:  Pensions and Post-Retirement Benefits, Asset Retirement Obligations, and Troubled Debt Restructuring
",Graduate,2,2022-01-03,0,1,ACC
NJgKvnBte,Accounting Internship,ACC710,"This course is to enable the School of Business graduate students to gain valuable work experience within the field of Accounting. The  objective is give the students an opportunity for practical application of Accounting  business concepts/practices learned in classes and complement the course work taken. Secondarily, internships offer the opportunity to develop crucial job searching skills, explore career interests, enhance your resume, make contacts in your chosen field and build references for future employment. Each intern will work in a career-related position during the academic term for which the student is enrolled for the internship - completing a minimum of 150 hours on the job per 3 credits.",Graduate,3,2013-07-01,1,0,ACC
NydN6xcYg,Auditing and Attestation Review Course,ACC720,This is a CPA Exam review course for the Auditing and Attestation section of the Uniform Certified Public Accountants examination. This course is an intense immersion in those topics from undergraduate and graduate auditing classes that are likely to be on the CPA exam.,Graduate,4,2017-04-28,0,1,ACC
4yYVaxqtx,Financial Reporting Review Course,ACC730,This course will be a review of the content of the financial accounting and reporting section of the Uniform CPA exam.  This will prepare students to take that portion of the CPA exam.,Graduate,4,2017-01-31,0,1,ACC
4Jij53rKe,Advertising Copy and Design,ADV263,"This course focuses on the creative end of advertising, including the actual presentation of advertisements.  Harmony, consistency and effective use of colors, headlines, subheadlines, borders and amplification of the features, as well as advantages and benefits of the product/service, are emphasized. Students will be familiar with the creative competencies and skills needed in the formulation of effective campaigns in various media.",Undergraduate,3,2022-01-03,1,1,ADV
4kFYc3rFx,Advertising Media Planning,ADV340,"This course addresses the connection between media and markets from a quantitative perspective. Students learn to read and understand available statistical tools providing measurement data of media audiences and media usage patterns.  The course covers media selection criteria, such as effective reach and frequency, cost per thousand and cost per rating point, weighting, and continuity patterns.  Students also become cognizant of the impact of a firm's corporate strategies, particularly the marketing and financial strategies, on media planning.  Lastly, the course considers the strategic issues of fragmentation and selectivity as new technology and methods of reaching target markets emerge. Writing intensive course.",Undergraduate,3,2022-01-03,1,0,ADV
Vycj52rtx,Promotional Research & Media Management,ADV428,This course applies marketing research techniques to the field of promotion. Topics covered include research for promotional campaigns and a survey of the research companies and reports used in evaluating the success of the promotional effort.,Undergraduate,3,2022-01-03,1,0,ADV
Nytiq2BKx,Advertising Campaigns,ADV429,"This advanced course in advertising and promotion includes the application of marketing strategies and theories and the development of a complete, multimedia advertising campaign. Aspects covered include gathering primary and secondary marketing research data, establishing an integrated marketing strategy plan, developing creative exhibits in the strategy print and broadcast media and constructing a media traffic plan.",Undergraduate,3,2022-01-03,1,0,ADV
NJOic2BKx,Advertising Account Executive Seminar,ADV462,"This course focuses on the business, management and sales aspects of the advertising field. Students will learn about the selling and marketing of advertising campaigns and obtain the management skills and competencies that are needed to implement effective advertising planning.  Students will be familiar with the roles and responsibilities of executive producers and account executives in sales and management. This is a third-year course in the marketing program.",Undergraduate,3,2022-01-03,1,0,ADV
BJ81uY5ax,Aviation Law,AM201,"This course covers the development of air law including federal and state regulatory functions, rights and liabilities of aviators and operators, rights of third parties on the ground, and passengers in tort and contract cases. It also provides a study of international conventions, agreements, and associations such as the International Civil Aviation Organization. ",Undergraduate,3,2016-08-01,0,1,AM
B16R5qApg,Aircraft Operating Economics,AM205,"This course covers the analysis of aircraft operating capabilities, the capital value of aircraft, and the cost of aircraft operation. An emphasis will be placed on identifying the interrelationship between these three factors. Aircraft from the basic general aviation trainers to large commercial transports will be included. Computer applications programs will be used in the analysis and presentation of information. ",Undergraduate,3,2018-04-30,0,1,AM
S1gDdYq6e,General Aviation Operations,AM215,"This course provides an in-depth study of the general aviation field, including finances, management, operations and regulations. Major concentration will be placed on the management and administration of a fixed-base operation; the duties and responsibilities of the airport manager; and the managerial considerations in the application of the small airplane in business aviation, aerial photography, agricultural spraying, aircraft sales, financing, and insurance. Guest lecturers are often scheduled.  ",Undergraduate,3,2016-08-01,0,1,AM
B1WujqCag,Airport Operations,AM220,"This course provides an introduction to airport operating practices. Topics will include the history of airport development, landside and airside operations, airport layout, airport equipment, applicable regulations, and the impact of technological advances in air transportation. The course will also introduce students to airport planning, airport finances, managing growth, airport management, and community relations. The course will cover general aviation, regional, and major airports. Field trips may be required.",Undergraduate,3,2018-04-30,0,1,AM
B1DAdYc6l,Air Carrier Operation,AM320,"This course covers analysis of the economic and administrative factors involved in airline operations. An emphasis is placed on demand analysis, pricing, route structure, fleet planning and financing. A simulation of airline operations will be used to provide practical insights into the problems faced in managing an airline.  ",Undergraduate,3,2016-08-01,0,1,AM
SJ6tKKqal,Business & Corporate Aviation,AM330,"This course provides an analysis of the operation of corporate/business flight operations, including administration and operations. Topics include how aviation relates to business and industry; the administrative and fiscal concerns of a flight department; maintenance operations and departmental organization; and aircraft and equipment evaluation. ",Undergraduate,3,2016-08-01,0,1,AM
rJlbct9al,Airport and Airspace Capacity Management,AM340,"This course provides an analysis of the key elements of airport and airspace capacity. Current techniques for measuring airport and airspace capacity will be examined, including the relationship between delay and capacity, as well as aircraft operating characteristics and airline scheduling practices. The impact of airport development on airspace capacity, including projects such as locating new airports and building new runways at existing airports, will also be explored. The role of federal, state, and local agencies and the private sector will be analyzed in terms of airport/airspace capacity. Computer simulation modeling, such as the FAA's SIMMOD, will be used in analyzing case studies in airspace and airport capacity and delay.",Undergraduate,3,2018-04-30,0,1,AM
SycafIQbb,Airport and Airspace Capacity Management,AM340L,"This course provides an analysis of the key elements of airport and airspace capacity. Current techniques for measuring airport and airspace capacity will be examined, including the relationship between delay and capacity, as well as aircraft operating characteristics and airline scheduling practices. The impact of airport development on airspace capacity, including projects such as locating new airports and building new runways at existing airports, will also be explored. The role of federal, state, and local agencies and the private sector will be analyzed in terms of airport/airspace capacity. Computer simulation modeling, such as the FAA's SIMMOD, will be used in analyzing case studies in airspace and airport capacity and delay.",Undergraduate,1,2018-04-30,0,1,AM
HJQ6sKAYz,Airport Planning and Management,AM460,"This is an advanced course in the planning, management, and operation of airports. Students will learn to apply fundamental management theory to airports; determine an airport's capacity and assess the potential for delays; evaluate the environmental impact of an airport; identify the basic components of the National Airspace System and its relationship to airports; apply basic financial management and accounting techniques to airport finances; set airport fees, rates, and charges; understand the process required to obtain capital funding for airport improvements; evaluate and use airport master plans, state airport system plans, and airport layout plans; apply basic principles of terminal design and operations; have a working knowledge of Part 139 of the Federal Aviation Regulations; evaluate the security of an airport; and prepare basic airport emergency response procedures.",Undergraduate,3,2018-04-01,0,1,AM
ryCZiGgmb,The Foundations of the United States Air Force I,AS101,"AS-101 is a survey course designed to introduce students to the United States Air Force and provides an overview of the basic characteristics, missions, and organization of the Air Force. This course provides an introduction to the Air Force (AF), hopefully encouraging students to pursue an AF career or at least seek additional information to be better informed about the role of the USAF. The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers. The course also lays the foundation for becoming an Airman such as AF customs and courtesies, AF dress and appearance, team building, communication skills, AF Core values, and more. As a foundational course, AS-101 also provides a historical perspective such as lessons on war and US military, AF operations, principles of war, and airpower (see the complete lesson list below). As a whole, this course provides students with a knowledge-level understanding for the employment of air and space power, from an institutional, doctrinal, and historical perspective. The students will be introduced to the Air Force way of life and gain knowledge on what it means to be an Airman. A succinct perspective of the AS-101 course objective is to sell the AF as a career and lay a strong foundation built on AF Core Values and AF perspectives.",Undergraduate,1,2017-06-15,0,1,AS
SJ9AOHeQZ,Leadership Laboratory,AS101L,"LLAB is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. It is a student planned, organized, and executed practicum conducted under the supervision of the Detachment Commander and Operations Flight Commander. LLAB cadets are classified into one of four groups with respect to field training attendance and/or commissioning. Initial Military Training (IMT) cadets are part of the General Military Course (GMC) but are not scheduled to attend field training (normally AS100 cadets). The focus of IMT objectives/activities are to promote the Air Force way of life and help effectively recruit and retain qualified cadets. This time is spent acquainting the cadets with basic Air Force knowledge and skills to help them determine whether they wish to continue with the AFROTC program. Field Training Prep (FTP) cadets are scheduled to attend field training in the upcoming year (normally AS200 cadets). The FTP objectives provide training to ensure every cadet is mentally and physically prepared for the rigorous field training environment. Intermediate Cadet Leaders (ICL) are cadets returning from field training (normally AS300 cadets). ICL objectives/activities give cadets the opportunity to further develop the leadership and followership skills learned at field training. Every cadet position should provide the ICL the opportunity to sharpen their planning, organizational, and communication skills, as well as their ability to effectively use resources to accomplish a mission in a constructive learning environment. Senior Cadet Leaders (SCL) are cadets scheduled to be commissioned in the upcoming year (normally AS400 cadets). This time is spent on additional opportunities to develop leadership and supervisory capabilities, and prepares cadets for their first active duty assignment. Extended Cadet Leaders (ECL) are cadets whose AFROTC academic requirements are complete but still have one or more terms of college left to complete. These cadets may hold special duty or regular positions within the cadet corps upon discretion of the Detachment Commander (Det CC) or Operations Flight Commander (OFC).",Undergraduate,0,2017-06-15,0,1,AS
rJsitSgm-,The Foundations of the United States Air Force II,AS102,"AS-102 is a survey course designed to introduce students to the United States Air Force and provides an overview of the basic characteristics, missions, and organization of the Air Force. This course provides an introduction to the Air Force (AF), hopefully encouraging students to pursue an AF career or at least seek additional information to be better informed about the role of the USAF. The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers. The course also lays the foundation for becoming an Airman such as AF customs and courtesies, AF dress and appearance, team building, communication skills, AF Core values, and more. As a foundational course, AS-102 also provides a historical perspective such as lessons on war and US military, AF operations, principles of war, and airpower (see the complete lesson list below). As a whole, this course provides students with a knowledge-level understanding for the employment of air and space power, from an institutional, doctrinal, and historical perspective. The students will be introduced to the Air Force way of life and gain knowledge on what it means to be an Airman. A succinct perspective of the AS-102 course objective is to sell the AF as a career and lay a strong foundation built on AF Core Values and AF perspectives.",Undergraduate,1,2017-06-15,0,1,AS
